artist,album,score,genre,label,reviewer,year,review_date,length,url,genre_clean,genre_list,genre_cleaned,genre_len,main_genre
Macy Gray,On How Life Is,8.5,Pop/R&B,Epic,Jackson Howard,1999.0,2025-03-09,2127,https://www.pitchfork.com/reviews/albums/macy-gray-on-how-life-is/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Ted Lucas,Ted Lucas (Extended),8.7,Folk/Country / Rock,Third Man,Grayson Haver Currin,1975.0,2025-03-08,1222,https://www.pitchfork.com/reviews/albums/ted-lucas-ted-lucas-extended/,Folk_Country / Rock,"['Folk_Country', 'Rock']","['Folk/Country', 'Rock']",2,Folk/Country
Alabaster DePlume,A Blade Because a Blade Is Whole,8.0,Jazz,International Anthem,Matthew Blackwell,2025.0,2025-03-07,992,https://www.pitchfork.com/reviews/albums/alabaster-deplume-a-blade-because-a-blade-is-whole/,Jazz,['Jazz'],['Jazz'],1,Jazz
Kevin Drumm,Sheer Hellish Miasma II,7.7,Electronic / Experimental / Rock,Erstwhile,Christopher R. Weingarten,2025.0,2025-03-07,742,https://www.pitchfork.com/reviews/albums/kevin-drumm-sheer-hellish-miasma-ii/,Electronic / Experimental / Rock,"['Electronic', 'Experimental', 'Rock']","['Electronic', 'Experimental', 'Rock']",3,Electronic
Top$ide,On the Yeah Side Deluxe,7.2,Rap,Topside,Matthew Ritchie,2025.0,2025-03-07,666,https://www.pitchfork.com/reviews/albums/shaudy-kash-topside-on-the-yeah-side-deluxe/,Rap,['Rap'],['Rap'],1,Rap
Marie Davidson,City of Clowns,8.1,Electronic,DEEWEE,Anna Gaca,2025.0,2025-03-06,891,https://www.pitchfork.com/reviews/albums/marie-davidson-city-of-clowns/,Electronic,['Electronic'],['Electronic'],1,Electronic
Yves Jarvis,All Cylinders,7.7,Rock,In Real Life,Stuart Berman,2025.0,2025-03-06,760,https://www.pitchfork.com/reviews/albums/yves-jarvis-all-cylinders/,Rock,['Rock'],['Rock'],1,Rock
Tobacco City,Horses,7.3,Folk/Country,Scissor Tail,Linnie Greene,2025.0,2025-03-06,537,https://www.pitchfork.com/reviews/albums/tobacco-city-horses/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Ichiko Aoba,Luminescent Creatures,8.4,Experimental,Psychic Hotline,Dash Lewis,2025.0,2025-03-05,777,https://www.pitchfork.com/reviews/albums/ichiko-aoba-luminescent-creatures/,Experimental,['Experimental'],['Experimental'],1,Experimental
LISA,Alter Ego,5.2,Pop/R&B,RCA,Joshua Minsoo Kim,2025.0,2025-03-05,621,https://www.pitchfork.com/reviews/albums/lisa-alter-ego/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Mdou Moctar,Tears of Injustice,7.5,Rock,Matador,Daniel Bromfield,2025.0,2025-03-05,703,https://www.pitchfork.com/reviews/albums/mdou-moctar-tears-of-injustice/,Rock,['Rock'],['Rock'],1,Rock
Panda Bear,Sinister Grift,8.5,Electronic,Domino,Sadie Sartini Garner,2025.0,2025-03-04,1136,https://www.pitchfork.com/reviews/albums/panda-bear-sinister-grift/,Electronic,['Electronic'],['Electronic'],1,Electronic
Yo La Tengo,Old JoyEP,7.8,Rock,Mississippi,Daniel Bromfield,2025.0,2025-03-04,616,https://www.pitchfork.com/reviews/albums/yo-la-tengo-old-joy-ep/,Rock,['Rock'],['Rock'],1,Rock
Deep Sea Diver,Billboard Heart,7.3,Rock,Sub Pop,Marissa Lorusso,2025.0,2025-03-04,561,https://www.pitchfork.com/reviews/albums/deep-sea-diver-billboard-heart/,Rock,['Rock'],['Rock'],1,Rock
Shygirl,Club Shy Room 2EP,7.4,Electronic,Because Music,Tatiana Lee Rodriguez,2025.0,2025-03-03,754,https://www.pitchfork.com/reviews/albums/shygirl-club-shy-room-2-ep/,Electronic,['Electronic'],['Electronic'],1,Electronic
Miya Folick,Erotica Veronica,6.7,Rock,Nettwerk,Hannah Jocelyn,2025.0,2025-03-03,594,https://www.pitchfork.com/reviews/albums/miya-folick-erotica-veronica/,Rock,['Rock'],['Rock'],1,Rock
MK Velsorf,Opening Night,7.6,Jazz,Awe,Philip Sherburne,2025.0,2025-03-03,867,https://www.pitchfork.com/reviews/albums/mk-velsorf-aase-nielsen-opening-night/,Jazz,['Jazz'],['Jazz'],1,Jazz
Flipper,Album – Generic Flipper,8.8,Experimental / Metal / Rock,Subterranean,Matthew Schnipper,1982.0,2025-03-02,2094,https://www.pitchfork.com/reviews/albums/flipper-album-generic-flipper/,Experimental / Metal / Rock,"['Experimental', 'Metal', 'Rock']","['Experimental', 'Metal', 'Rock']",3,Experimental
The Chills,Spring Board: The Early Unrecorded Songs,7.8,Rock,Fire,Marc Masters,2025.0,2025-03-01,754,https://www.pitchfork.com/reviews/albums/the-chills-spring-board-the-early-unrecorded-songs/,Rock,['Rock'],['Rock'],1,Rock
Darkside,Nothing,7.8,Rock,Matador,Dash Lewis,2025.0,2025-02-28,835,https://www.pitchfork.com/reviews/albums/darkside-nothing/,Rock,['Rock'],['Rock'],1,Rock
Kelora,Sleepers,6.0,Electronic / Folk/Country,True Panther,Margaret Farrell,2025.0,2025-02-28,538,https://www.pitchfork.com/reviews/albums/kelora-sleepers/,Electronic / Folk_Country,"['Electronic', 'Folk_Country']","['Electronic', 'Folk/Country']",2,Electronic
Baalti,MelaEP,7.6,Electronic,Steel City Dance Discs,Vrinda Jagota,2025.0,2025-02-28,620,https://www.pitchfork.com/reviews/albums/baalti-mela-ep/,Electronic,['Electronic'],['Electronic'],1,Electronic
Nao,Jupiter,6.4,Pop/R&B,RCA,Stephen Kearse,2025.0,2025-02-27,598,https://www.pitchfork.com/reviews/albums/nao-jupiter/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Baths,Gut,7.9,Electronic,Basement’s Basement,Eric Torres,2025.0,2025-02-27,664,https://www.pitchfork.com/reviews/albums/baths-gut/,Electronic,['Electronic'],['Electronic'],1,Electronic
Q Lazzarus,Goodbye Horses: The Many Lives of Q Lazzarus (Music From the Motion Picture),7.4,Rock,Sacred Bones,Arielle Gordon,2025.0,2025-02-27,1083,https://www.pitchfork.com/reviews/albums/q-lazzarus-goodbye-horses-the-many-lives-of-q-lazzarus/,Rock,['Rock'],['Rock'],1,Rock
Tim Hecker,Shards,7.1,Experimental,Kranky,Christopher R. Weingarten,2025.0,2025-02-26,560,https://www.pitchfork.com/reviews/albums/tim-hecker-shards/,Experimental,['Experimental'],['Experimental'],1,Experimental
Tate McRae,So Close to What,6.0,Pop/R&B,RCA,Jaeden Pinder,2025.0,2025-02-26,737,https://www.pitchfork.com/reviews/albums/tate-mcrae-so-close-to-what/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Damon Locks,List of Demands,7.7,Jazz / Experimental,International Anthem,Matthew Blackwell,2025.0,2025-02-26,824,https://www.pitchfork.com/reviews/albums/damon-locks-list-of-demands/,Jazz / Experimental,"['Jazz', 'Experimental']","['Jazz', 'Experimental']",2,Jazz
skaiwater,#mia,7.2,Rap,GoodTalk / Capitol,Olivier Lafontant,2025.0,2025-02-25,688,https://www.pitchfork.com/reviews/albums/skaiwater-mia/,Rap,['Rap'],['Rap'],1,Rap
Eev Frances,Sometimes I Forget to Breathe,7.2,Electronic / Experimental,self-released,Philip Sherburne,2025.0,2025-02-25,655,https://www.pitchfork.com/reviews/albums/eev-frances-sometimes-i-forget-to-breathe/,Electronic / Experimental,"['Electronic', 'Experimental']","['Electronic', 'Experimental']",2,Electronic
Pissgrave,Malignant Worthlessness,7.6,Metal,Profound Lore,Sam Goldner,2025.0,2025-02-25,681,https://www.pitchfork.com/reviews/albums/pissgrave-malignant-worthlessness/,Metal,['Metal'],['Metal'],1,Metal
Youth Lagoon,Rarely Do I Dream,7.4,Rock,Fat Possum,Lily Goldberg,2025.0,2025-02-24,719,https://www.pitchfork.com/reviews/albums/youth-lagoon-rarely-do-i-dream/,Rock,['Rock'],['Rock'],1,Rock
Black Milk,Food From the Gods,7.5,Rap,Computer Ugly / Fat Beats,Matthew Ritchie,2025.0,2025-02-24,671,https://www.pitchfork.com/reviews/albums/black-milk-fat-ray-food-from-the-gods/,Rap,['Rap'],['Rap'],1,Rap
Bartees Strange,Horror,6.5,Rock,4AD,Zach Schonfeld,2025.0,2025-02-24,757,https://www.pitchfork.com/reviews/albums/bartees-strange-horror/,Rock,['Rock'],['Rock'],1,Rock
William Ackerman,In Search of the Turtle’s Navel,8.6,Rock / Experimental,Windham Hill,Alex Robert Ross,1976.0,2025-02-23,2749,https://www.pitchfork.com/reviews/albums/william-ackerman-in-search-of-the-turtles-navel/,Rock / Experimental,"['Rock', 'Experimental']","['Rock', 'Experimental']",2,Rock
Sam Fender,People Watching,6.5,Rock,Capitol,Hannah Jocelyn,2025.0,2025-02-22,805,https://www.pitchfork.com/reviews/albums/sam-fender-people-watching/,Rock,['Rock'],['Rock'],1,Rock
Saya Gray,Saya,7.8,Pop/R&B,Dirty Hit,Walden Green,2025.0,2025-02-21,764,https://www.pitchfork.com/reviews/albums/saya-gray-saya/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Father John Misty,"I Love You, Honeybear Demos, etc.",7.3,Rock,Sub Pop,Arielle Gordon,2025.0,2025-02-21,772,https://www.pitchfork.com/reviews/albums/father-john-misty-i-love-you-honeybear-demos-etc/,Rock,['Rock'],['Rock'],1,Rock
Frog,1000 Variations on the Same Song,7.2,Rock,tapewormies / Audio Antihero,Nina Corcoran,2025.0,2025-02-21,647,https://www.pitchfork.com/reviews/albums/frog-1000-variations-on-the-same-song/,Rock,['Rock'],['Rock'],1,Rock
John Glacier,Like a Ribbon,8.2,Rap / Electronic,Young,Shaad D’Souza,2025.0,2025-02-20,537,https://www.pitchfork.com/reviews/albums/john-glacier-like-a-ribbon/,Rap / Electronic,"['Rap', 'Electronic']","['Rap', 'Electronic']",2,Rap
Nino Paid,Love Me As I Am,7.9,Rap,Signal / Columbia,Jude Noel,2025.0,2025-02-20,923,https://www.pitchfork.com/reviews/albums/nino-paid-love-me-as-i-am/,Rap,['Rap'],['Rap'],1,Rap
Kelela,In the Blue Light,8.0,Pop/R&B,Warp,Tarisai Ngangura,2025.0,2025-02-20,958,https://www.pitchfork.com/reviews/albums/kelela-in-the-blue-light/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
PARTYNEXTDOOR,$ome $exy $ongs 4 U,5.9,Pop/R&B / Rap,OVO Sound,Alphonse Pierre,2025.0,2025-02-19,1315,https://www.pitchfork.com/reviews/albums/drake-partynextdoor-some-sexy-songs-4-u/,Pop_R&B / Rap,"['Pop_R&B', 'Rap']","['Pop/R&B', 'Rap']",2,Pop/R&B
Horsegirl,Phonetics On and On,7.6,Rock,Matador,Nina Corcoran,2025.0,2025-02-19,761,https://www.pitchfork.com/reviews/albums/horsegirl-phonetics-on-and-on/,Rock,['Rock'],['Rock'],1,Rock
Fennesz,The Last Days of May,7.6,Experimental,Longform Editions,Andrew Ryce,2025.0,2025-02-19,663,https://www.pitchfork.com/reviews/albums/fennesz-the-last-days-of-may/,Experimental,['Experimental'],['Experimental'],1,Experimental
Richard Dawson,End of the Middle,7.6,Folk/Country,Domino,Alastair Shuttleworth,2025.0,2025-02-18,663,https://www.pitchfork.com/reviews/albums/richard-dawson-end-of-the-middle/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Civilistjävel!,Följd,7.7,Electronic,FELT,Philip Sherburne,2025.0,2025-02-18,913,https://www.pitchfork.com/reviews/albums/civilistjavel-foljd/,Electronic,['Electronic'],['Electronic'],1,Electronic
OnlyHeaven,KISS (Keep It Short & Sweet)EP,7.4,Rap,NEWWRLD,Alphonse Pierre,2025.0,2025-02-18,778,https://www.pitchfork.com/reviews/albums/onlyheaven-kiss-keep-it-short-and-sweet-ep/,Rap,['Rap'],['Rap'],1,Rap
Babes in Toyland,Fontanelle,9.0,Reprise / Southern,Reprise / Southern,Amy Phillips,1992.0,2025-02-16,3907,https://www.pitchfork.com/reviews/albums/babes-in-toyland-fontanelle/,Reprise / Southern,"['Reprise', 'Southern']",['Unknown'],0,Unknown
,,7.6,Rock,,Brad Shoup,,2025-02-15,1703,https://www.pitchfork.com/reviews/albums/drop-nineteens-delaware-1991/,Rock,['Rock'],['Rock'],1,Rock
venturing,Ghostholding,7.9,Rock,deadAir,Sasha Geffen,2025.0,2025-02-14,949,https://www.pitchfork.com/reviews/albums/venturing-ghostholding/,Rock,['Rock'],['Rock'],1,Rock
Mereba,The Breeze Grew a Fire,7.8,Pop/R&B,Secretly Canadian,Stephen Kearse,2025.0,2025-02-14,692,https://www.pitchfork.com/reviews/albums/mereba-the-breeze-grew-a-fire/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Horsebath,Another Farewell,7.5,Folk/Country,Strolling Bones,Stephen M. Deusner,2025.0,2025-02-14,577,https://www.pitchfork.com/reviews/albums/horsebath-another-farewell/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Klein,Thirteen Sense,7.3,Experimental,Parkwuud Entertainment,Daniel Bromfield,2025.0,2025-02-13,598,https://www.pitchfork.com/reviews/albums/klein-thirteen-sense/,Experimental,['Experimental'],['Experimental'],1,Experimental
Rosco P. Coldchain,For the Mature,6.5,Rap,self-released,Pete Tosiello,2025.0,2025-02-13,476,https://www.pitchfork.com/reviews/albums/roscoe-p-coldchain-for-the-mature/,Rap,['Rap'],['Rap'],1,Rap
Canty,Dim Binge,6.8,Pop/R&B / Rock,Full Time Hobby,Jazz Monroe,2025.0,2025-02-13,557,https://www.pitchfork.com/reviews/albums/canty-dim-binge/,Pop_R&B / Rock,"['Pop_R&B', 'Rock']","['Pop/R&B', 'Rock']",2,Pop/R&B
Squid,Cowards,7.6,Rock,Warp,Aimee Cliff,2025.0,2025-02-12,752,https://www.pitchfork.com/reviews/albums/squid-cowards/,Rock,['Rock'],['Rock'],1,Rock
SlimeGetEm,GetEm,6.4,Rap,self-released,Lawrence Burney,2025.0,2025-02-12,852,https://www.pitchfork.com/reviews/albums/slimegetem-getem/,Rap,['Rap'],['Rap'],1,Rap
Larry June,Life Is Beautiful,6.8,Rap,EMPIRE,Matthew Ritchie,2025.0,2025-02-12,694,https://www.pitchfork.com/reviews/albums/larry-june-2-chainz-the-alchemist-life-is-beautiful/,Rap,['Rap'],['Rap'],1,Rap
Madvillain,Madvillainy Demos,8.0,Rap,Stones Throw,Paul A. Thompson,2025.0,2025-02-11,675,https://www.pitchfork.com/reviews/albums/madvillain-madvillainy-demos/,Rap,['Rap'],['Rap'],1,Rap
Mirar,Ascension,7.4,Metal,self-released,Sam Goldner,2025.0,2025-02-11,563,https://www.pitchfork.com/reviews/albums/mirar-ascension/,Metal,['Metal'],['Metal'],1,Metal
Oklou,choke enough,8.0,Pop/R&B,True Panther,Walden Green,2025.0,2025-02-10,780,https://www.pitchfork.com/reviews/albums/oklou-choke-enough/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Eddie Chacon,Lay Low,7.4,Pop/R&B,Stones Throw,Joshua Minsoo Kim,2025.0,2025-02-10,652,https://www.pitchfork.com/reviews/albums/eddie-chacon-lay-low/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
FearDorian,Leaving Home,7.5,Rap,self-released,Olivier Lafontant,2025.0,2025-02-10,664,https://www.pitchfork.com/reviews/albums/feardorian-leaving-home/,Rap,['Rap'],['Rap'],1,Rap
Movietone,The Blossom Filled Streets,8.6,Rock,Domino,Mark Richardson,2000.0,2025-02-09,2550,https://www.pitchfork.com/reviews/albums/movietone-the-blossom-filled-streets/,Rock,['Rock'],['Rock'],1,Rock
Wilco,A Ghost Is Born (Deluxe Edition),9.4,Rock,Nonesuch,Steven Arroyo,2025.0,2025-02-08,2618,https://www.pitchfork.com/reviews/albums/wilco-a-ghost-is-born-deluxe-edition/,Rock,['Rock'],['Rock'],1,Rock
Sharon Van Etten,Sharon Van Etten & The Attachment Theory,7.8,Rock,Jagjaguwar,Zach Schonfeld,2025.0,2025-02-07,701,https://www.pitchfork.com/reviews/albums/sharon-van-etten-and-the-attachment-theory/,Rock,['Rock'],['Rock'],1,Rock
ZelooperZ,Dear Psilocybin,7.7,Rap,Real Bad Man,Dash Lewis,2025.0,2025-02-07,693,https://www.pitchfork.com/reviews/albums/zelooperz-real-bad-man-dear-psilocybin/,Rap,['Rap'],['Rap'],1,Rap
Tony Bontana,TUMPIT,7.6,Rap,self-released,Alphonse Pierre,2025.0,2025-02-07,622,https://www.pitchfork.com/reviews/albums/tony-bontana-tumpit/,Rap,['Rap'],['Rap'],1,Rap
Geologist,A Shaw Deal,6.5,Rock,Drag City,Daniel Bromfield,2025.0,2025-02-06,543,https://www.pitchfork.com/reviews/albums/geologist-ds-a-shaw-deal/,Rock,['Rock'],['Rock'],1,Rock
Ocean Moon,Ways to the Deep Meadow,7.2,Electronic,Music From Memory,Philip Sherburne,2025.0,2025-02-06,595,https://www.pitchfork.com/reviews/albums/ocean-moon-ways-to-the-deep-meadow/,Electronic,['Electronic'],['Electronic'],1,Electronic
Eduardo Polonio,Eduardo Polonio: Obra Electroacústica 1969-1981,7.8,Electronic,Buh,Matthew Blackwell,2025.0,2025-02-06,770,https://www.pitchfork.com/reviews/albums/eduardo-polonio-obra-electroacustica-1969-1981/,Electronic,['Electronic'],['Electronic'],1,Electronic
The Weather Station,Humanhood,8.1,Folk/Country,Fat Possum,Marissa Lorusso,2025.0,2025-02-05,820,https://www.pitchfork.com/reviews/albums/the-weather-station-humanhood/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Pink Siifu,BLACK’!ANTIQUE,7.1,Rap,Dynamite Hill,Matthew Ritchie,2025.0,2025-02-05,620,https://www.pitchfork.com/reviews/albums/pink-siifu-blackantique/,Rap,['Rap'],['Rap'],1,Rap
Bloody!,So Wavy Luciano,7.2,Rap,self-released,Jude Noel,2025.0,2025-02-05,642,https://www.pitchfork.com/reviews/albums/bloody-so-wavy-luciano/,Rap,['Rap'],['Rap'],1,Rap
The Weeknd,Hurry Up Tomorrow,7.8,Pop/R&B,XO / Republic,Dani Blum,2025.0,2025-02-04,1056,https://www.pitchfork.com/reviews/albums/the-weeknd-hurry-up-tomorrow/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Lilly Hiatt,Forever,7.5,Rock / Folk/Country,New West,Stephen Thomas Erlewine,2025.0,2025-02-04,597,https://www.pitchfork.com/reviews/albums/lilly-hiatt-forever/,Rock / Folk_Country,"['Rock', 'Folk_Country']","['Rock', 'Folk/Country']",2,Rock
Rose Gray,"Louder, Please",6.7,Pop/R&B,Play It Again Sam,Anna Gaca,2025.0,2025-02-04,596,https://www.pitchfork.com/reviews/albums/rose-gray-louder-please/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
OsamaSon,Jump Out,8.2,Rap,Motion Music / Atlantic,Olivier Lafontant,2025.0,2025-02-03,795,https://www.pitchfork.com/reviews/albums/osamason-jump-out/,Rap,['Rap'],['Rap'],1,Rap
Steve Roden,Forms of Paper (2024 remaster),7.6,Electronic,LINE / Aurora Central,Philip Sherburne,2025.0,2025-02-03,951,https://www.pitchfork.com/reviews/albums/steve-roden-forms-of-paper-2024-remaster/,Electronic,['Electronic'],['Electronic'],1,Electronic
horsegiirL,v.i.p. - very important ponyEP,7.1,Electronic,Three Six Zero,Allison Harris,2025.0,2025-02-03,452,https://www.pitchfork.com/reviews/albums/horsegiirl-vip-very-important-pony-ep/,Electronic,['Electronic'],['Electronic'],1,Electronic
Jerry Garcia,Garcia,8.6,Rock,Warner Bros.,Sam Sodomsky,1972.0,2025-02-02,1945,https://www.pitchfork.com/reviews/albums/jerry-garcia-garcia/,Rock,['Rock'],['Rock'],1,Rock
Ebo Taylor,Ebo Taylor JID022,7.2,Jazz / Pop/R&B / Rap,Jazz Is Dead,Dean Van Nguyen,2025.0,2025-02-01,546,https://www.pitchfork.com/reviews/albums/ebo-taylor-adrian-younge-ali-shaheed-muhammad-ebo-taylor-jid022/,Jazz / Pop_R&B / Rap,"['Jazz', 'Pop_R&B', 'Rap']","['Jazz', 'Pop/R&B', 'Rap']",3,Jazz
MIKE,Showbiz!,8.3,Rap,10k,Dash Lewis,2025.0,2025-01-31,921,https://www.pitchfork.com/reviews/albums/mike-showbiz/,Rap,['Rap'],['Rap'],1,Rap
Fadi Tabbal,I recognize you from my sketches,7.5,Experimental / Rock,Ruptured,James Gui,2025.0,2025-01-31,555,https://www.pitchfork.com/reviews/albums/fadi-tabbal-i-recognize-you-from-my-sketches/,Experimental / Rock,"['Experimental', 'Rock']","['Experimental', 'Rock']",2,Experimental
Joe McPhee,I’m Just Say’n,7.6,Jazz,Smalltown Supersound,Daniel Felsenthal,2025.0,2025-01-31,1090,https://www.pitchfork.com/reviews/albums/joe-mcphee-im-just-sayn/,Jazz,['Jazz'],['Jazz'],1,Jazz
Bonnie “Prince” Billy,The Purple Bird,7.7,Folk/Country,No Quarter,Stephen M. Deusner,2025.0,2025-01-30,895,https://www.pitchfork.com/reviews/albums/bonnie-prince-billy-the-purple-bird/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Central Cee,Can’t Rush Greatness,6.1,Rap,Columbia,Will Pritchard,2025.0,2025-01-30,736,https://www.pitchfork.com/reviews/albums/central-cee-cant-rush-greatness/,Rap,['Rap'],['Rap'],1,Rap
Khadija Al Hanafi,!OK!,7.5,Electronic / Experimental,Fada,Jude Noel,2025.0,2025-01-30,684,https://www.pitchfork.com/reviews/albums/khadija-al-hanafi-ok/,Electronic / Experimental,"['Electronic', 'Experimental']","['Electronic', 'Experimental']",2,Electronic
Ela Minus,DÍA,7.9,Electronic,Domino,Stuart Berman,2025.0,2025-01-29,856,https://www.pitchfork.com/reviews/albums/ela-minus-dia/,Electronic,['Electronic'],['Electronic'],1,Electronic
KP Skywalka,4 Tha Freakas,7.5,Rap,Beat the Odds LLC,Alphonse Pierre,2025.0,2025-01-29,575,https://www.pitchfork.com/reviews/albums/kp-skywalka-4-tha-freakas/,Rap,['Rap'],['Rap'],1,Rap
Pigeon Pit,crazy arms,7.7,Rock,Ernest Jenning,Nina Corcoran,2025.0,2025-01-29,723,https://www.pitchfork.com/reviews/albums/pigeon-pit-crazy-arms/,Rock,['Rock'],['Rock'],1,Rock
Kathryn Mohr,Waiting Room,8.4,Rock,The Flenser,Sue Park,2025.0,2025-01-28,822,https://www.pitchfork.com/reviews/albums/kathryn-mohr-waiting-room/,Rock,['Rock'],['Rock'],1,Rock
Nine Vicious,Studio Addict,6.9,Rap,self-released,Olivier Lafontant,2024.0,2025-01-28,712,https://www.pitchfork.com/reviews/albums/nine-vicious-studio-addict/,Rap,['Rap'],['Rap'],1,Rap
SadBoi,DRY CRY,7.4,Rap,LVRN,AJ Morris,2024.0,2025-01-28,696,https://www.pitchfork.com/reviews/albums/sadboi-dry-cry/,Rap,['Rap'],['Rap'],1,Rap
Benjamin Booker,LOWER,8.0,Rock,Fire Next Time,Walden Green,2025.0,2025-01-27,908,https://www.pitchfork.com/reviews/albums/benjamin-booker-lower/,Rock,['Rock'],['Rock'],1,Rock
Sam Amidon,Salt River,7.3,Folk/Country,River Lea,Brian Howe,2025.0,2025-01-27,648,https://www.pitchfork.com/reviews/albums/sam-amidon-salt-river/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Ale Hop,Mapambazuko,8.1,Experimental / Pop/R&B / Folk/Country,Nyege Nyege Tapes,Ben Cardew,2025.0,2025-01-27,566,https://www.pitchfork.com/reviews/albums/ale-hop-titi-bakorta-mapambazuko/,Experimental / Pop_R&B / Folk_Country,"['Experimental', 'Pop_R&B', 'Folk_Country']","['Experimental', 'Pop/R&B', 'Folk/Country']",3,Experimental
T-Pain,Epiphany,8.0,Rap,Nappy Boy,Clover Hope,2007.0,2025-01-26,1893,https://www.pitchfork.com/reviews/albums/t-pain-epiphany/,Rap,['Rap'],['Rap'],1,Rap
Studio,West Coast,8.5,Electronic / Pop/R&B,Ghostly International,Matthew Schnipper,2025.0,2025-01-25,868,https://www.pitchfork.com/reviews/albums/studio-west-coast/,Electronic / Pop_R&B,"['Electronic', 'Pop_R&B']","['Electronic', 'Pop/R&B']",2,Electronic
FKA twigs,EUSEXUA,9.1,Electronic / Pop/R&B,Atlantic / Young,Rich Juzwiak,2025.0,2025-01-24,1478,https://www.pitchfork.com/reviews/albums/fka-twigs-eusexua/,Electronic / Pop_R&B,"['Electronic', 'Pop_R&B']","['Electronic', 'Pop/R&B']",2,Electronic
Edward Skeletrix,Museum Music,3.7,Rap,self-released,Alphonse Pierre,2025.0,2025-01-24,1194,https://www.pitchfork.com/reviews/albums/edward-skeletrix-museum-music/,Rap,['Rap'],['Rap'],1,Rap
U.e.,Hometown Girl,7.8,Experimental / Electronic,28912,Philip Sherburne,2025.0,2025-01-24,683,https://www.pitchfork.com/reviews/albums/ue-hometown-girl/,Experimental / Electronic,"['Experimental', 'Electronic']","['Experimental', 'Electronic']",2,Experimental
Mogwai,The Bad Fire,7.4,Rock,Temporary Residence Ltd.,Stuart Berman,2025.0,2025-01-23,877,https://www.pitchfork.com/reviews/albums/mogwai-the-bad-fire/,Rock,['Rock'],['Rock'],1,Rock
Voice Actor,Lust (1),7.9,Electronic,Stroom,Emma Madden,2025.0,2025-01-23,515,https://www.pitchfork.com/reviews/albums/voice-actor-squu-lust-1/,Electronic,['Electronic'],['Electronic'],1,Electronic
Dean Blunt,lucreEP,7.5,Experimental,World Music,Samuel Hyland,2024.0,2025-01-23,874,https://www.pitchfork.com/reviews/albums/dean-blunt-lucre-ep/,Experimental,['Experimental'],['Experimental'],1,Experimental
Mac Miller,Balloonerism,7.4,Rap,Warner,Matthew Strauss,2025.0,2025-01-22,787,https://www.pitchfork.com/reviews/albums/mac-miller-balloonerism/,Rap,['Rap'],['Rap'],1,Rap
Yola,My WayEP,6.7,Rock,S-Curve,Stephen M. Deusner,2025.0,2025-01-22,699,https://www.pitchfork.com/reviews/albums/yola-my-way-ep/,Rock,['Rock'],['Rock'],1,Rock
Mean Bacharach,Sacrifice,7.0,Pop/R&B,self-released,Daniel Bromfield,2024.0,2025-01-22,488,https://www.pitchfork.com/reviews/albums/mean-bacharach-sacrifice/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Blue Lake,Weft,7.5,Experimental,Tonal Union,Walden Green,2025.0,2025-01-21,492,https://www.pitchfork.com/reviews/albums/blue-lake-weft/,Experimental,['Experimental'],['Experimental'],1,Experimental
Television Personalities,"Tune In, Turn On, Drop Out – Radio Sessions 1980-1993",8.0,Rock,Fire,Ben Cardew,2025.0,2025-01-21,951,https://www.pitchfork.com/reviews/albums/television-personalities-tune-in-turn-on-drop-out-radio-sessions/,Rock,['Rock'],['Rock'],1,Rock
Pavel Milyakov,HEAL,7.7,Electronic,psyX,Philip Sherburne,,2025-01-21,697,https://www.pitchfork.com/reviews/albums/pavel-milyakov-lucas-dupuy-heal/,Electronic,['Electronic'],['Electronic'],1,Electronic
Popol Vuh,Hosianna Mantra,9.5,Electronic,Pilz,Grayson Haver Currin,1972.0,2025-01-19,2842,https://www.pitchfork.com/reviews/albums/popol-vuh-hosianna-mantra/,Electronic,['Electronic'],['Electronic'],1,Electronic
Frank Black,Teenager of the Year (30th Anniversary Edition),8.5,Rock,4AD,Stephen Thomas Erlewine,2025.0,2025-01-18,1000,https://www.pitchfork.com/reviews/albums/frank-black-teenager-of-the-year-30th-anniversary-edition/,Rock,['Rock'],['Rock'],1,Rock
