artist,album,score,genre,label,reviewer,year,review_date,length,url,genre_clean,genre_list,genre_cleaned,genre_len,main_genre
The Hidden Cameras,BRONTO,8.0,Rock,EvilEvil,Stuart Berman,2025.0,2025-09-17,708,https://www.pitchfork.com/reviews/albums/the-hidden-cameras-bronto/,Rock,['Rock'],['Rock'],1,Rock
Jens Lekman,Songs for Other People’s Weddings,7.6,Rock,Secretly Canadian,Brian Howe,2025.0,2025-09-16,1263,https://www.pitchfork.com/reviews/albums/jens-lekman-songs-for-other-peoples-weddings/,Rock,['Rock'],['Rock'],1,Rock
Oli XL,Lick the Lens – Pt.1,7.0,Electronic,Warp,H.D. Angel,2025.0,2025-09-16,810,https://www.pitchfork.com/reviews/albums/oli-xl-lick-the-lens-pt1/,Electronic,['Electronic'],['Electronic'],1,Electronic
dolo2000,Let’s Meet at Junes,7.5,Rap,texasBronco,Alphonse Pierre,2025.0,2025-09-16,605,https://www.pitchfork.com/reviews/albums/dolo2000-lets-meet-at-junes/,Rap,['Rap'],['Rap'],1,Rap
Twenty One Pilots,Breach,6.2,Rock,Fueled by Ramen,Hannah Jocelyn,2025.0,2025-09-15,1045,https://www.pitchfork.com/reviews/albums/twenty-one-pilots-breach/,Rock,['Rock'],['Rock'],1,Rock
Liquid Mike,Hell Is an Airport,7.2,Rock,self-released,Grace Robins-Somerville,2025.0,2025-09-15,722,https://www.pitchfork.com/reviews/albums/liquid-mike-hell-is-an-airport/,Rock,['Rock'],['Rock'],1,Rock
Ben Bondy,XO Salt Llif3,6.9,Experimental,3XL,Sam Goldner,2025.0,2025-09-15,586,https://www.pitchfork.com/reviews/albums/ben-bondy-xo-salt-llif3/,Experimental,['Experimental'],['Experimental'],1,Experimental
Phish,The Siket Disc,8.1,Rock,self-released,Sam Sodomsky,1999.0,2025-09-14,2333,https://www.pitchfork.com/reviews/albums/phish-the-siket-disc/,Rock,['Rock'],['Rock'],1,Rock
David Byrne,Who Is the Sky?,5.1,Rock,Matador,Stephen Thomas Erlewine,2025.0,2025-09-13,832,https://www.pitchfork.com/reviews/albums/david-byrne-who-is-the-sky/,Rock,['Rock'],['Rock'],1,Rock
Algernon Cadwallader,Trying Not to Have a Thought,8.4,Rock,Saddle Creek,Nina Corcoran,2025.0,2025-09-12,1158,https://www.pitchfork.com/reviews/albums/algernon-cadwallader-trying-not-to-have-a-thought/,Rock,['Rock'],['Rock'],1,Rock
La Dispute,No One Was Driving the Car,7.8,Rock,Epitaph,Arielle Gordon,2025.0,2025-09-12,932,https://www.pitchfork.com/reviews/albums/la-dispute-no-one-was-driving-the-car/,Rock,['Rock'],['Rock'],1,Rock
Titanic,HAGEN,7.7,Experimental,Unheard of Hope,E.R. Pulgar,2025.0,2025-09-12,554,https://www.pitchfork.com/reviews/albums/titanic-hagen/,Experimental,['Experimental'],['Experimental'],1,Experimental
james K,Friend,8.0,Electronic,AD 93,Harry Tafoya,2025.0,2025-09-11,785,https://www.pitchfork.com/reviews/albums/james-k-friend/,Electronic,['Electronic'],['Electronic'],1,Electronic
Flur,Plunge,7.8,Jazz,Latency,Dash Lewis,2025.0,2025-09-11,776,https://www.pitchfork.com/reviews/albums/flur-plunge/,Jazz,['Jazz'],['Jazz'],1,Jazz
Jehnny Beth,"You Heartbreaker, You",7.9,Rock,Fiction,Sadie Sartini Garner,2025.0,2025-09-11,879,https://www.pitchfork.com/reviews/albums/jehnny-beth-you-heartbreaker-you/,Rock,['Rock'],['Rock'],1,Rock
Justin Bieber,SWAG II,5.2,Pop/R&B,Def Jam,Rich Juzwiak,2025.0,2025-09-10,1050,https://www.pitchfork.com/reviews/albums/justin-bieber-swag-ii/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Blood Orange,Essex Honey,8.1,Pop/R&B,RCA,Stephen Kearse,2025.0,2025-09-10,814,https://www.pitchfork.com/reviews/albums/blood-orange-essex-honey/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Hayley Williams,Ego Death at a Bachelorette Party,7.3,Pop/R&B / Rock,Post Atlantic,Amanda Wicks,2025.0,2025-09-10,636,https://www.pitchfork.com/reviews/albums/hayley-williams-ego-death-at-a-bachelorette-party/,Pop_R&B / Rock,"['Pop_R&B', 'Rock']","['Pop/R&B', 'Rock']",2,Pop/R&B
Hot Chip,Joy in Repetition,8.6,Electronic,Domino,Brad Shoup,2025.0,2025-09-09,1241,https://www.pitchfork.com/reviews/albums/hot-chip-joy-in-repetition/,Electronic,['Electronic'],['Electronic'],1,Electronic
Ghostface Killah,Supreme Clientele 2,6.6,Rap,Mass Appeal,Paul A. Thompson,2025.0,2025-09-09,794,https://www.pitchfork.com/reviews/albums/ghostface-killah-supreme-clientele-2/,Rap,['Rap'],['Rap'],1,Rap
Brian Dunne,Clams Casino,7.8,Rock,Missing Piece,Matthew Strauss,2025.0,2025-09-09,751,https://www.pitchfork.com/reviews/albums/brian-dunne-clams-casino/,Rock,['Rock'],['Rock'],1,Rock
Lucrecia Dalt,A Danger to Ourselves,8.5,Experimental,Rvng Intl.,Matthew Ismael Ruiz,2025.0,2025-09-08,915,https://www.pitchfork.com/reviews/albums/lucrecia-dalt-a-danger-to-ourselves/,Experimental,['Experimental'],['Experimental'],1,Experimental
Saint Etienne,International,6.7,Rock,Heavenly,Harry Tafoya,2025.0,2025-09-08,1188,https://www.pitchfork.com/reviews/albums/saint-etienne-international/,Rock,['Rock'],['Rock'],1,Rock
Mariah the Scientist,HEARTS SOLD SEPARATELY,7.7,Pop/R&B,Epic,Wongo Okon,2025.0,2025-09-08,742,https://www.pitchfork.com/reviews/albums/mariah-the-scientist-hearts-sold-separately/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Anna Domino,East and West,9.2,Rock,Les Disques du Crépuscule,Shaad D’Souza,1984.0,2025-09-07,2015,https://www.pitchfork.com/reviews/albums/anna-domino-east-and-west/,Rock,['Rock'],['Rock'],1,Rock
Slipknot,Slipknot (25th Anniversary Edition),8.2,Metal,Roadrunner,Ian Cohen,2025.0,2025-09-06,1858,https://www.pitchfork.com/reviews/albums/slipknot-slipknot-25th-anniversary-edition/,Metal,['Metal'],['Metal'],1,Metal
Big Thief,Double Infinity,7.6,Rock,4AD,Vrinda Jagota,2025.0,2025-09-05,1039,https://www.pitchfork.com/reviews/albums/big-thief-double-infinity/,Rock,['Rock'],['Rock'],1,Rock
Akasha System,Heliocene,7.3,Electronic,100% Silk,Sam Goldner,2025.0,2025-09-05,523,https://www.pitchfork.com/reviews/albums/akasha-system-heliocene/,Electronic,['Electronic'],['Electronic'],1,Electronic
