artist,album,score,genre,label,reviewer,year,review_date,length,url
John Coltrane,A Love Supreme: Live in Seattle,9.4,Jazz,Impulse!,Mark Richardson,,2021-10-27,1341,https://www.pitchfork.com/reviews/albums/john-coltrane-a-love-supreme-live-in-seattle/
Deerhoof,"Actually, You Can",7.3,Experimental,Joyful Noise,Patric Fallon,2021.0,2021-10-27,555,https://www.pitchfork.com/reviews/albums/deerhoof-actually-you-can/
Grouper,Shade,8.2,Experimental,Kranky,Daniel Bromfield,2021.0,2021-10-26,885,https://www.pitchfork.com/reviews/albums/grouper-shade/
The F16s,Is It Time to Eat the Rich Yet?,7.2,Rock,House Arrest,Bhanuj Kappal,2021.0,2021-10-26,768,https://www.pitchfork.com/reviews/albums/the-f16s-is-it-time-to-eat-the-rich-yet/
Circuit des Yeux,-io,7.8,Rock,Matador,Allison Hussey,2021.0,2021-10-26,810,https://www.pitchfork.com/reviews/albums/circuit-des-yeux-io/
Jessica Pavone,Lull,7.4,Jazz,Chaikin,Jonathan Williger,2021.0,2021-10-26,793,https://www.pitchfork.com/reviews/albums/jessica-pavone-lull/
Nubya Garcia,Source ⧺ We Move,7.6,Jazz,Concord Jazz,Ben Cardew,2021.0,2021-10-25,602,https://www.pitchfork.com/reviews/albums/nubya-garcia-source-we-move/
Vanishing Twin,Ookii Gekkou,7.4,Rock,Fire,Phillipe Roberts,2021.0,2021-10-25,755,https://www.pitchfork.com/reviews/albums/vanishing-twin-ookii-gekkou/
Explosions in the Sky,Big Bend (An Original Soundtrack for Public Television),7.4,Rock,Temporary Residence Ltd.,Grayson Haver Currin,2021.0,2021-10-25,759,https://www.pitchfork.com/reviews/albums/explosions-in-the-sky-big-bend-an-original-soundtrack-for-public-television/
Parquet Courts,Sympathy for Life,7.6,Rock,Rough Trade,Sadie Sartini Garner,2021.0,2021-10-25,1045,https://www.pitchfork.com/reviews/albums/parquet-courts-sympathy-for-life/
The Clash,Combat Rock,8.4,Rock,Sony,Anna Gaca,1982.0,2021-10-24,2814,https://www.pitchfork.com/reviews/albums/the-clash-combat-rock/
