artist,album,score,genre,label,reviewer,year,review_date,length,url
µ-Ziq,Grush,7.6,Electronic,Planet Mu,Ben Cardew,2024.0,2024-06-20,542,https://www.pitchfork.com/reviews/albums/u-ziq-grush/
Normani,DOPAMINE,7.4,Pop/R&B,RCA,Heven Haile,2024.0,2024-06-18,509,https://www.pitchfork.com/reviews/albums/normani-dopamine/
Fana Hues,Moth,7.5,Pop/R&B,Bright Antenna,Dylan Green,2024.0,2024-06-18,675,https://www.pitchfork.com/reviews/albums/fana-hues-moth/
Fax Gang,Scattersun,7.0,Rap / Electronic / Rock,Topshelf,Michael Hong,2024.0,2024-06-18,474,https://www.pitchfork.com/reviews/albums/fax-gang-parannoul-scattersun/
Carlos Niño & Friends,Placenta,7.9,Jazz / Experimental,International Anthem,Linnie Greene,2024.0,2024-06-17,558,https://www.pitchfork.com/reviews/albums/carlos-nino-and-friends-placenta/
Pedro the Lion,Santa Cruz,7.3,Rock,Polyvinyl,Patric Fallon,2024.0,2024-06-17,535,https://www.pitchfork.com/reviews/albums/pedro-the-lion-santa-cruz/
Sideshow,F.U.N. T.O.Y.,7.6,Rap,10k,Dash Lewis,2024.0,2024-06-17,502,https://www.pitchfork.com/reviews/albums/sideshow-fun-toy/
Iasos,Inter-Dimensional Music,8.3,Experimental,self-released,Daniel Bromfield,1975.0,2024-06-16,1959,https://www.pitchfork.com/reviews/albums/iasos-inter-dimensional-music/
Paul McCartney,One Hand Clapping,8.4,Rock,MPL,Stuart Berman,2024.0,2024-06-15,1283,https://www.pitchfork.com/reviews/albums/paul-mccartney-wings-one-hand-clapping/
NxWorries,Why Lawd?,8.0,Pop/R&B,Stones Throw,Dylan Green,2024.0,2024-06-14,904,https://www.pitchfork.com/reviews/albums/nxworries-why-lawd/
2hollis,boy,7.2,Pop/R&B / Electronic,self-released,Brady Brickner-Wood,2024.0,2024-06-14,905,https://www.pitchfork.com/reviews/albums/2hollis-boy/
This Is Lorelei,"Box for Buddy, Box for Star",7.8,Rock,Double Double Whammy,Marissa Lorusso,2024.0,2024-06-14,739,https://www.pitchfork.com/reviews/albums/this-is-lorelei-box-for-buddy-box-for-star/
Tems,Born in the Wild,7.8,Pop/R&B,Since ’93 / RCA,Boutayna Chokrane,2024.0,2024-06-13,633,https://www.pitchfork.com/reviews/albums/tems-born-in-the-wild/
Marina Allen,Eight Pointed Star,7.3,Folk/Country,Fire,Shaad D’Souza,2024.0,2024-06-13,552,https://www.pitchfork.com/reviews/albums/marina-allen-eight-pointed-star/
Kaytranada,Timeless,7.3,Pop/R&B,RCA,Pete Tosiello,2024.0,2024-06-12,596,https://www.pitchfork.com/reviews/albums/kaytranada-timeless/
