artist,album,score,genre,label,reviewer,year,review_date,length,url
Oklou,choke enough,8.0,Pop/R&B,True Panther,Walden Green,2025.0,2025-02-10,780,https://www.pitchfork.com/reviews/albums/oklou-choke-enough/
Eddie Chacon,Lay Low,7.4,Pop/R&B,Stones Throw,Joshua Minsoo Kim,2025.0,2025-02-10,652,https://www.pitchfork.com/reviews/albums/eddie-chacon-lay-low/
FearDorian,Leaving Home,7.5,Rap,self-released,Olivier Lafontant,2025.0,2025-02-10,664,https://www.pitchfork.com/reviews/albums/feardorian-leaving-home/
Movietone,The Blossom Filled Streets,8.6,Rock,Domino,Mark Richardson,2000.0,2025-02-09,2550,https://www.pitchfork.com/reviews/albums/movietone-the-blossom-filled-streets/
Wilco,A Ghost Is Born (Deluxe Edition),9.4,Rock,Nonesuch,Steven Arroyo,2025.0,2025-02-08,2618,https://www.pitchfork.com/reviews/albums/wilco-a-ghost-is-born-deluxe-edition/
Sharon Van Etten,Sharon Van Etten & The Attachment Theory,7.8,Rock,Jagjaguwar,Zach Schonfeld,2025.0,2025-02-07,701,https://www.pitchfork.com/reviews/albums/sharon-van-etten-and-the-attachment-theory/
ZelooperZ,Dear Psilocybin,7.7,Rap,Real Bad Man,Dash Lewis,2025.0,2025-02-07,693,https://www.pitchfork.com/reviews/albums/zelooperz-real-bad-man-dear-psilocybin/
Tony Bontana,TUMPIT,7.6,Rap,self-released,Alphonse Pierre,2025.0,2025-02-07,622,https://www.pitchfork.com/reviews/albums/tony-bontana-tumpit/
Geologist,A Shaw Deal,6.5,Rock,Drag City,Daniel Bromfield,2025.0,2025-02-06,543,https://www.pitchfork.com/reviews/albums/geologist-ds-a-shaw-deal/
Ocean Moon,Ways to the Deep Meadow,7.2,Electronic,Music From Memory,Philip Sherburne,2025.0,2025-02-06,595,https://www.pitchfork.com/reviews/albums/ocean-moon-ways-to-the-deep-meadow/
Eduardo Polonio,Eduardo Polonio: Obra Electroacústica 1969-1981,7.8,Electronic,Buh,Matthew Blackwell,2025.0,2025-02-06,770,https://www.pitchfork.com/reviews/albums/eduardo-polonio-obra-electroacustica-1969-1981/
The Weather Station,Humanhood,8.1,Folk/Country,Fat Possum,Marissa Lorusso,2025.0,2025-02-05,820,https://www.pitchfork.com/reviews/albums/the-weather-station-humanhood/
Pink Siifu,BLACK’!ANTIQUE,7.1,Rap,Dynamite Hill,Matthew Ritchie,2025.0,2025-02-05,620,https://www.pitchfork.com/reviews/albums/pink-siifu-blackantique/
Bloody!,So Wavy Luciano,7.2,Rap,self-released,Jude Noel,2025.0,2025-02-05,642,https://www.pitchfork.com/reviews/albums/bloody-so-wavy-luciano/
The Weeknd,Hurry Up Tomorrow,7.8,Pop/R&B,XO / Republic,Dani Blum,2025.0,2025-02-04,1056,https://www.pitchfork.com/reviews/albums/the-weeknd-hurry-up-tomorrow/
Lilly Hiatt,Forever,7.5,Rock / Folk/Country,New West,Stephen Thomas Erlewine,2025.0,2025-02-04,597,https://www.pitchfork.com/reviews/albums/lilly-hiatt-forever/
Rose Gray,"Louder, Please",6.7,Pop/R&B,Play It Again Sam,Anna Gaca,2025.0,2025-02-04,596,https://www.pitchfork.com/reviews/albums/rose-gray-louder-please/
OsamaSon,Jump Out,8.2,Rap,Motion Music / Atlantic,Olivier Lafontant,2025.0,2025-02-03,795,https://www.pitchfork.com/reviews/albums/osamason-jump-out/
Steve Roden,Forms of Paper (2024 remaster),7.6,Electronic,LINE / Aurora Central,Philip Sherburne,2025.0,2025-02-03,951,https://www.pitchfork.com/reviews/albums/steve-roden-forms-of-paper-2024-remaster/
horsegiirL,v.i.p. - very important ponyEP,7.1,Electronic,Three Six Zero,Allison Harris,2025.0,2025-02-03,452,https://www.pitchfork.com/reviews/albums/horsegiirl-vip-very-important-pony-ep/
Jerry Garcia,Garcia,8.6,Rock,Warner Bros.,Sam Sodomsky,1972.0,2025-02-02,1945,https://www.pitchfork.com/reviews/albums/jerry-garcia-garcia/
Ebo Taylor,Ebo Taylor JID022,7.2,Jazz / Pop/R&B / Rap,Jazz Is Dead,Dean Van Nguyen,2025.0,2025-02-01,546,https://www.pitchfork.com/reviews/albums/ebo-taylor-adrian-younge-ali-shaheed-muhammad-ebo-taylor-jid022/
MIKE,Showbiz!,8.3,Rap,10k,Dash Lewis,2025.0,2025-01-31,921,https://www.pitchfork.com/reviews/albums/mike-showbiz/
Fadi Tabbal,I recognize you from my sketches,7.5,Experimental / Rock,Ruptured,James Gui,2025.0,2025-01-31,555,https://www.pitchfork.com/reviews/albums/fadi-tabbal-i-recognize-you-from-my-sketches/
Joe McPhee,I’m Just Say’n,7.6,Jazz,Smalltown Supersound,Daniel Felsenthal,2025.0,2025-01-31,1090,https://www.pitchfork.com/reviews/albums/joe-mcphee-im-just-sayn/
Bonnie “Prince” Billy,The Purple Bird,7.7,Folk/Country,No Quarter,Stephen M. Deusner,2025.0,2025-01-30,895,https://www.pitchfork.com/reviews/albums/bonnie-prince-billy-the-purple-bird/
Central Cee,Can’t Rush Greatness,6.1,Rap,Columbia,Will Pritchard,2025.0,2025-01-30,736,https://www.pitchfork.com/reviews/albums/central-cee-cant-rush-greatness/
Khadija Al Hanafi,!OK!,7.5,Electronic / Experimental,Fada,Jude Noel,2025.0,2025-01-30,684,https://www.pitchfork.com/reviews/albums/khadija-al-hanafi-ok/
Ela Minus,DÍA,7.9,Electronic,Domino,Stuart Berman,2025.0,2025-01-29,856,https://www.pitchfork.com/reviews/albums/ela-minus-dia/
KP Skywalka,4 Tha Freakas,7.5,Rap,Beat the Odds LLC,Alphonse Pierre,2025.0,2025-01-29,575,https://www.pitchfork.com/reviews/albums/kp-skywalka-4-tha-freakas/
Pigeon Pit,crazy arms,7.7,Rock,Ernest Jenning,Nina Corcoran,2025.0,2025-01-29,723,https://www.pitchfork.com/reviews/albums/pigeon-pit-crazy-arms/
Kathryn Mohr,Waiting Room,8.4,Rock,The Flenser,Sue Park,2025.0,2025-01-28,822,https://www.pitchfork.com/reviews/albums/kathryn-mohr-waiting-room/
Nine Vicious,Studio Addict,6.9,Rap,self-released,Olivier Lafontant,2024.0,2025-01-28,712,https://www.pitchfork.com/reviews/albums/nine-vicious-studio-addict/
SadBoi,DRY CRY,7.4,Rap,LVRN,AJ Morris,2024.0,2025-01-28,696,https://www.pitchfork.com/reviews/albums/sadboi-dry-cry/
Benjamin Booker,LOWER,8.0,Rock,Fire Next Time,Walden Green,2025.0,2025-01-27,908,https://www.pitchfork.com/reviews/albums/benjamin-booker-lower/
Sam Amidon,Salt River,7.3,Folk/Country,River Lea,Brian Howe,2025.0,2025-01-27,648,https://www.pitchfork.com/reviews/albums/sam-amidon-salt-river/
Ale Hop,Mapambazuko,8.1,Experimental / Pop/R&B / Folk/Country,Nyege Nyege Tapes,Ben Cardew,2025.0,2025-01-27,566,https://www.pitchfork.com/reviews/albums/ale-hop-titi-bakorta-mapambazuko/
T-Pain,Epiphany,8.0,Rap,Nappy Boy,Clover Hope,2007.0,2025-01-26,1893,https://www.pitchfork.com/reviews/albums/t-pain-epiphany/
Studio,West Coast,8.5,Electronic / Pop/R&B,Ghostly International,Matthew Schnipper,2025.0,2025-01-25,868,https://www.pitchfork.com/reviews/albums/studio-west-coast/
FKA twigs,EUSEXUA,9.1,Electronic / Pop/R&B,Atlantic / Young,Rich Juzwiak,2025.0,2025-01-24,1478,https://www.pitchfork.com/reviews/albums/fka-twigs-eusexua/
Edward Skeletrix,Museum Music,3.7,Rap,self-released,Alphonse Pierre,2025.0,2025-01-24,1194,https://www.pitchfork.com/reviews/albums/edward-skeletrix-museum-music/
U.e.,Hometown Girl,7.8,Experimental / Electronic,28912,Philip Sherburne,2025.0,2025-01-24,683,https://www.pitchfork.com/reviews/albums/ue-hometown-girl/
Mogwai,The Bad Fire,7.4,Rock,Temporary Residence Ltd.,Stuart Berman,2025.0,2025-01-23,877,https://www.pitchfork.com/reviews/albums/mogwai-the-bad-fire/
Voice Actor,Lust (1),7.9,Electronic,Stroom,Emma Madden,2025.0,2025-01-23,515,https://www.pitchfork.com/reviews/albums/voice-actor-squu-lust-1/
Dean Blunt,lucreEP,7.5,Experimental,World Music,Samuel Hyland,2024.0,2025-01-23,874,https://www.pitchfork.com/reviews/albums/dean-blunt-lucre-ep/
Mac Miller,Balloonerism,7.4,Rap,Warner,Matthew Strauss,2025.0,2025-01-22,787,https://www.pitchfork.com/reviews/albums/mac-miller-balloonerism/
Yola,My WayEP,6.7,Rock,S-Curve,Stephen M. Deusner,2025.0,2025-01-22,699,https://www.pitchfork.com/reviews/albums/yola-my-way-ep/
Mean Bacharach,Sacrifice,7.0,Pop/R&B,self-released,Daniel Bromfield,2024.0,2025-01-22,488,https://www.pitchfork.com/reviews/albums/mean-bacharach-sacrifice/
Blue Lake,Weft,7.5,Experimental,Tonal Union,Walden Green,2025.0,2025-01-21,492,https://www.pitchfork.com/reviews/albums/blue-lake-weft/
Television Personalities,"Tune In, Turn On, Drop Out – Radio Sessions 1980-1993",8.0,Rock,Fire,Ben Cardew,2025.0,2025-01-21,951,https://www.pitchfork.com/reviews/albums/television-personalities-tune-in-turn-on-drop-out-radio-sessions/
Pavel Milyakov,HEAL,7.7,Electronic,psyX,Philip Sherburne,,2025-01-21,697,https://www.pitchfork.com/reviews/albums/pavel-milyakov-lucas-dupuy-heal/
Popol Vuh,Hosianna Mantra,9.5,Electronic,Pilz,Grayson Haver Currin,1972.0,2025-01-19,2842,https://www.pitchfork.com/reviews/albums/popol-vuh-hosianna-mantra/
Frank Black,Teenager of the Year (30th Anniversary Edition),8.5,Rock,4AD,Stephen Thomas Erlewine,2025.0,2025-01-18,1000,https://www.pitchfork.com/reviews/albums/frank-black-teenager-of-the-year-30th-anniversary-edition/
Boldy James,Murder During Drug Traffic,7.7,Rap,self-released,Dash Lewis,2025.0,2025-01-17,775,https://www.pitchfork.com/reviews/albums/boldy-james-richgains-murder-during-drug-traffic/
ML Buch,Suntub extras,7.2,Electronic,self-released,Daniel Bromfield,2024.0,2025-01-17,696,https://www.pitchfork.com/reviews/albums/ml-buch-suntub-extras/
Bossman Dlow,Dlow Curry,7.4,Rap,Alamo,Paul A. Thompson,2024.0,2025-01-17,559,https://www.pitchfork.com/reviews/albums/bossman-dlow-dlow-curry/
Timothée Chalamet,A Complete Unknown (Original Motion Picture Soundtrack),7.3,Rock,Columbia,Jenn Pelly,2024.0,2025-01-16,1498,https://www.pitchfork.com/reviews/albums/timothee-chalamet-a-complete-unknown-original-motion-picture-soundtrack/
Rio Da Yung OG,RIO FREE,7.0,Rap,EMPIRE,Dash Lewis,2025.0,2025-01-16,618,https://www.pitchfork.com/reviews/albums/rio-da-yung-og-rio-free/
Good Sad Happy Bad,All Kinds of Days,7.9,Electronic / Pop/R&B,Textile,Ben Cardew,2024.0,2025-01-16,682,https://www.pitchfork.com/reviews/albums/good-sad-happy-bad-all-kinds-of-days/
Lambrini Girls,Who Let the Dogs Out,7.3,Rock,City Slang,Nina Corcoran,2025.0,2025-01-15,768,https://www.pitchfork.com/reviews/albums/lambrini-girls-who-let-the-dogs-out/
Babymorocco,Amour,7.1,Electronic,True Panther,E.R. Pulgar,2024.0,2025-01-15,630,https://www.pitchfork.com/reviews/albums/babymorocco-amour/
Colle,Montalvo,7.3,Pop/R&B,urtruimage,Kieran Press-Reynolds,2024.0,2025-01-15,493,https://www.pitchfork.com/reviews/albums/colle-montalvo/
Bad Bunny,DeBÍ TiRAR MáS FOToS,8.8,Rap / Pop/R&B,Rimas,Tatiana Lee Rodriguez,2025.0,2025-01-14,1419,https://www.pitchfork.com/reviews/albums/bad-bunny-debi-tirar-mas-fotos/
quinn,stars fell on trench,7.3,Experimental / Electronic,self-released,Raphael Helfand,2024.0,2025-01-14,496,https://www.pitchfork.com/reviews/albums/quinn-stars-fell-on-trench/
James Blackshaw,Unraveling in Your Hands,8.0,Folk/Country,self-released,Laura Snapes,2024.0,2025-01-14,726,https://www.pitchfork.com/reviews/albums/james-blackshaw-unraveling-in-your-hands/
Ethel Cain,Perverts,7.0,Rock,Daughters of Cain,Sasha Geffen,2025.0,2025-01-13,614,https://www.pitchfork.com/reviews/albums/ethel-cain-perverts/
Dorothea Paas,Think of Mist,7.5,Folk/Country,Telephone Explosion,Zach Schonfeld,2024.0,2025-01-13,566,https://www.pitchfork.com/reviews/albums/dorothea-paas-think-of-mist/
Ringo Starr,Look Up,6.3,Rock,Lost Highway,Ben Cardew,2025.0,2025-01-13,634,https://www.pitchfork.com/reviews/albums/ringo-starr-look-up/
U2,Pop,8.0,Rock,Island,Calum Marsh,1997.0,2025-01-12,2493,https://www.pitchfork.com/reviews/albums/u2-pop/
Cameron Winter,Heavy Metal,8.3,Rock,Partisan / Play It Again Sam,Walden Green,2024.0,2025-01-11,923,https://www.pitchfork.com/reviews/albums/cameron-winter-heavy-metal/
Angel Olsen,Cosmic Waves Volume 1,6.8,Rock,Jagjaguwar,Emma Madden,2024.0,2025-01-10,658,https://www.pitchfork.com/reviews/albums/angel-olsen-cosmic-waves-volume-1/
Franz Ferdinand,The Human Fear,6.3,Rock,Domino,Zach Schonfeld,2025.0,2025-01-10,532,https://www.pitchfork.com/reviews/albums/franz-ferdinand-the-human-fear/
Aphex Twin,Music From the Merch Desk (2016 - 2023),6.4,Electronic,Warp,Andrew Ryce,2024.0,2025-01-09,597,https://www.pitchfork.com/reviews/albums/aphex-twin-music-from-the-merch-desk-2016-2023/
Zach Phillips,True Music,7.3,Folk/Country,self-released,Jude Noel,2025.0,2025-01-09,635,https://www.pitchfork.com/reviews/albums/zach-phillips-true-music/
The Innocence Mission,Midwinter Swimmers,8.0,Folk/Country / Pop/R&B,Thérèse,Nina Corcoran,2024.0,2025-01-08,993,https://www.pitchfork.com/reviews/albums/the-innocence-mission-midwinter-swimmers/
Clara La San,Good Mourning,6.9,Pop/R&B,AWAL,Maria Eberhart,2024.0,2025-01-08,743,https://www.pitchfork.com/reviews/albums/clara-la-san-good-mourning/
LAZER DIM 700,KEEPIN IT CLOUDY,5.9,Rap,self-released,Kieran Press-Reynolds,2024.0,2025-01-07,894,https://www.pitchfork.com/reviews/albums/lazer-dim-700-keepin-it-cloudy/
Daniel Blumberg,The Brutalist (Original Motion Picture Soundtrack),7.8,Experimental,Milan,Madison Bloom,2024.0,2025-01-07,763,https://www.pitchfork.com/reviews/albums/daniel-blumberg-the-brutalist-original-motion-picture-soundtrack/
SZA,SOS Deluxe: Lana,8.8,Pop/R&B,Top Dawg Entertainment / RCA,Shaad D’Souza,2024.0,2025-01-06,1116,https://www.pitchfork.com/reviews/albums/sza-sos-deluxe-lana/
femtanyl,REACTOREP,6.9,Electronic,self-released,Kieran Press-Reynolds,2024.0,2025-01-06,678,https://www.pitchfork.com/reviews/albums/femtanyl-reactor-ep/
Plastikman,Musik (2024 Remastered),8.4,Electronic,Plus 8 / NovaMute,Philip Sherburne,2024.0,2025-01-04,964,https://www.pitchfork.com/reviews/albums/plastikman-musik-2024-remastered/
Prostitute,Attempted Martyr,7.8,Rock,self-released,Nina Corcoran,2024.0,2025-01-03,713,https://www.pitchfork.com/reviews/albums/prostitute-attempted-martyr/
Daryl Johns,Daryl Johns,7.3,Rock,Mac’s Record Label,Sue Park,2024.0,2025-01-02,785,https://www.pitchfork.com/reviews/albums/daryl-johns-daryl-johns/
Anna Ferrer,Parenòstic,7.6,Folk/Country / Experimental,La Castanya,Philip Sherburne,2024.0,2024-12-30,883,https://www.pitchfork.com/reviews/albums/anna-ferrer-parenostic/
Fennesz,Mosaic,7.9,Experimental,Touch / Fairwood,Daniel Bromfield,2024.0,2024-12-28,705,https://www.pitchfork.com/reviews/albums/fennesz-mosaic/
LUCY (Cooper B. Handy),"Cooper B. Handy’s Album, Vol. 9",6.2,Pop/R&B / Experimental,self-released,Sophie Kemp,2024.0,2024-12-27,919,https://www.pitchfork.com/reviews/albums/lucy-cooper-b-handys-album-vol-9/
Voyeur,Something Becomes YouEP,7.5,Rock,self-released,Samuel Hyland,2024.0,2024-12-26,614,https://www.pitchfork.com/reviews/albums/voyeur-something-becomes-you-ep/
Roc Marciano,The Skeleton Key,8.0,Rap,Pimpire International / Marci Enterprises,Dash Lewis,2024.0,2024-12-23,786,https://www.pitchfork.com/reviews/albums/roc-marciano-the-alchemist-the-skeleton-key/
duendita,the mind is a miracleEP,7.5,Pop/R&B,self-released,Eric Torres,2024.0,2024-12-23,508,https://www.pitchfork.com/reviews/albums/duendita-the-mind-is-a-miracle-ep/
Robert Palmer,Clues,8.0,Rock / Pop/R&B,Island,Stephen Thomas Erlewine,1980.0,2024-12-22,2017,https://www.pitchfork.com/reviews/albums/robert-palmer-clues/
Seefeel,Squared Roots,8.0,Electronic / Rock,Warp,Philip Sherburne,2024.0,2024-12-21,761,https://www.pitchfork.com/reviews/albums/seefeel-squared-roots/
Amen Dunes,Death Jokes II,7.8,Rock,Sub Pop,Matthew Blackwell,2024.0,2024-12-20,965,https://www.pitchfork.com/reviews/albums/amen-dunes-death-jokes-ii/
Shinichi Atobe,Discipline,7.7,Electronic,DDS,Daniel Bromfield,2024.0,2024-12-20,651,https://www.pitchfork.com/reviews/albums/shinichi-atobe-discipline/
Saint Etienne,The Night,7.2,Rock,Heavenly,Harry Tafoya,2024.0,2024-12-19,839,https://www.pitchfork.com/reviews/albums/saint-etienne-the-night/
Rosé,rosie,5.5,Pop/R&B,Atlantic,Alex Ramos,2024.0,2024-12-19,874,https://www.pitchfork.com/reviews/albums/rose-rosie/
Shabaka,Possession EP,7.4,Jazz,Impulse!,Dash Lewis,2024.0,2024-12-18,569,https://www.pitchfork.com/reviews/albums/shabaka-possession-ep/
Perila,Intrinsic Rhythm,6.7,Experimental / Electronic,Smalltown Supersound,Matthew Schnipper,2024.0,2024-12-18,622,https://www.pitchfork.com/reviews/albums/perila-intrinsic-rhythm/
Fang Island,Doesn’t Exist II: The Complete Recordings,7.5,Rock,Joyful Noise,Arielle Gordon,2024.0,2024-12-17,957,https://www.pitchfork.com/reviews/albums/fang-island-doesnt-exist-ii-the-complete-recordings/
Kassie Krut,Kassie KrutEP,7.7,Experimental,Fire Talk,Walden Green,2024.0,2024-12-17,627,https://www.pitchfork.com/reviews/albums/kassie-krut-kassie-krut-ep/
Jaeychino,ARTWORK III,7.8,Rap,PRNLDOCC,Olivier Lafontant,2024.0,2024-12-16,680,https://www.pitchfork.com/reviews/albums/jaeychino-artwork-iii/
Leo Bhanji,Shell EP,7.0,Pop/R&B / Electronic,Dirty Hit,Vrinda Jagota,2024.0,2024-12-16,505,https://www.pitchfork.com/reviews/albums/leo-bhanji-shell-ep/
John Martyn,Solid Air,10.0,Rock,Island,Tal Rosenberg,1973.0,2024-12-15,3527,https://www.pitchfork.com/reviews/albums/john-martyn-solid-air/
kuru,re:wired,7.1,Rap / Electronic,deadAir,Kieran Press-Reynolds,2024.0,2024-12-14,664,https://www.pitchfork.com/reviews/albums/kuru-re-wired/
The National,Rome,6.8,Rock,4AD,Hannah Jocelyn,2024.0,2024-12-13,1028,https://www.pitchfork.com/reviews/albums/the-national-rome/
Ally Evenson,BLUE SUPER LOVE,7.0,Rock,Assemble Sound,Walden Green,2024.0,2024-12-13,637,https://www.pitchfork.com/reviews/albums/ally-evenson-blue-super-love/
Moin,You Never End,8.1,Rock,AD 93,Matthew Schnipper,2024.0,2024-12-12,726,https://www.pitchfork.com/reviews/albums/moin-you-never-end/
Bibio,PHANTOM BRICKWORKS (LP II),7.8,Electronic,Warp,Philip Sherburne,2024.0,2024-12-12,711,https://www.pitchfork.com/reviews/albums/bibio-phantom-brickworks-lp-ii/
Nettspend,BAD ASS F*CKING KID,6.1,Rap,Interscope,Meaghan Garvey,2024.0,2024-12-11,938,https://www.pitchfork.com/reviews/albums/nettspend-bad-ass-fcking-kid/
Squanderers,If a Body Meet a Body,7.7,Rock / Experimental,Shimmy-Disc,Raphael Helfand,2024.0,2024-12-11,643,https://www.pitchfork.com/reviews/albums/squanderers-if-a-body-meet-a-body/
Drakeo the Ruler,The Undisputed Truth,8.0,Rap,Stinc Team,Paul A. Thompson,2024.0,2024-12-10,1356,https://www.pitchfork.com/reviews/albums/drakeo-the-ruler-the-undisputed-truth/
LEYA,I Forget Everything EP,7.1,Experimental,NNA Tapes,Colin Joyce,2024.0,2024-12-10,521,https://www.pitchfork.com/reviews/albums/leya-i-forget-everything-ep/
Kim Deal,Nobody Loves You More,7.9,Rock,4AD,Jenn Pelly,2024.0,2024-12-09,958,https://www.pitchfork.com/reviews/albums/kim-deal-nobody-loves-you-more/
Mark Barrott,"Everything Changes, Nothing Ends",7.6,Electronic,Reflections,Daniel Bromfield,2024.0,2024-12-09,567,https://www.pitchfork.com/reviews/albums/mark-barrott-everything-changes-nothing-ends/
Elvis Costello,Imperial Bedroom,8.4,Rock,Columbia,Alfred Soto,1982.0,2024-12-08,1647,https://www.pitchfork.com/reviews/albums/elvis-costello-and-the-attractions-imperial-bedroom/
Boldy James,The Bricktionary,7.8,Rap,Boldy James / SRFSCHL,Matthew Ritchie,2024.0,2024-12-07,869,https://www.pitchfork.com/reviews/albums/boldy-james-harry-fraud-the-bricktionary/
Merope,Vėjula,7.8,Folk/Country,Stroom,Dash Lewis,2024.0,2024-12-06,511,https://www.pitchfork.com/reviews/albums/merope-indre-jurgeleviciute-bert-cools-vejula/
Confidence Man,3AM (LA LA LA),6.6,Electronic,Casablanca,Jaeden Pinder,2024.0,2024-12-06,612,https://www.pitchfork.com/reviews/albums/confidence-man-3am-la-la-la/
Bill Callahan,"The Holy Grail: Bill Callahan’s “Smog” Dec. 10, 2001 Peel SessionEP",7.8,Rock,Drag City,Philip Sherburne,2024.0,2024-12-05,988,https://www.pitchfork.com/reviews/albums/bill-callahan-smog-the-holy-grail-ep/
Pet Shop Boys,Nonetheless (Expanded Edition),8.0,Electronic,Parlophone,Laura Snapes,2024.0,2024-12-05,1435,https://www.pitchfork.com/reviews/albums/pet-shop-boys-nonetheless-expanded-edition/
070 Shake,Petrichor,7.0,Rap,Def Jam,Katherine St. Asaph,2024.0,2024-12-04,833,https://www.pitchfork.com/reviews/albums/070-shake-petrichor/
