artist,album,score,genre,label,reviewer,year,review_date,length,url
Pissgrave,Malignant Worthlessness,7.6,Metal,Profound Lore,Sam Goldner,2025.0,2025-02-25,681,https://www.pitchfork.com/reviews/albums/pissgrave-malignant-worthlessness/
Youth Lagoon,Rarely Do I Dream,7.4,Rock,Fat Possum,Lily Goldberg,2025.0,2025-02-24,719,https://www.pitchfork.com/reviews/albums/youth-lagoon-rarely-do-i-dream/
Black Milk,Food From the Gods,7.5,Rap,Computer Ugly / Fat Beats,Matthew Ritchie,2025.0,2025-02-24,671,https://www.pitchfork.com/reviews/albums/black-milk-fat-ray-food-from-the-gods/
Bartees Strange,Horror,6.5,Rock,4AD,Zach Schonfeld,2025.0,2025-02-24,757,https://www.pitchfork.com/reviews/albums/bartees-strange-horror/
William Ackerman,In Search of the Turtle’s Navel,8.6,Rock / Experimental,Windham Hill,Alex Robert Ross,1976.0,2025-02-23,2749,https://www.pitchfork.com/reviews/albums/william-ackerman-in-search-of-the-turtles-navel/
Sam Fender,People Watching,6.5,Rock,Capitol,Hannah Jocelyn,2025.0,2025-02-22,805,https://www.pitchfork.com/reviews/albums/sam-fender-people-watching/
Saya Gray,Saya,7.8,Pop/R&B,Dirty Hit,Walden Green,2025.0,2025-02-21,764,https://www.pitchfork.com/reviews/albums/saya-gray-saya/
Father John Misty,"I Love You, Honeybear Demos, etc.",7.3,Rock,Sub Pop,Arielle Gordon,2025.0,2025-02-21,772,https://www.pitchfork.com/reviews/albums/father-john-misty-i-love-you-honeybear-demos-etc/
Frog,1000 Variations on the Same Song,7.2,Rock,tapewormies / Audio Antihero,Nina Corcoran,2025.0,2025-02-21,647,https://www.pitchfork.com/reviews/albums/frog-1000-variations-on-the-same-song/
John Glacier,Like a Ribbon,8.2,Rap / Electronic,Young,Shaad D’Souza,2025.0,2025-02-20,537,https://www.pitchfork.com/reviews/albums/john-glacier-like-a-ribbon/
Nino Paid,Love Me As I Am,7.9,Rap,Signal / Columbia,Jude Noel,2025.0,2025-02-20,923,https://www.pitchfork.com/reviews/albums/nino-paid-love-me-as-i-am/
Kelela,In the Blue Light,8.0,Pop/R&B,Warp,Tarisai Ngangura,2025.0,2025-02-20,958,https://www.pitchfork.com/reviews/albums/kelela-in-the-blue-light/
PARTYNEXTDOOR,$ome $exy $ongs 4 U,5.9,Pop/R&B / Rap,OVO Sound,Alphonse Pierre,2025.0,2025-02-19,1315,https://www.pitchfork.com/reviews/albums/drake-partynextdoor-some-sexy-songs-4-u/
Horsegirl,Phonetics On and On,7.6,Rock,Matador,Nina Corcoran,2025.0,2025-02-19,761,https://www.pitchfork.com/reviews/albums/horsegirl-phonetics-on-and-on/
Fennesz,The Last Days of May,7.6,Experimental,Longform Editions,Andrew Ryce,2025.0,2025-02-19,663,https://www.pitchfork.com/reviews/albums/fennesz-the-last-days-of-may/
Richard Dawson,End of the Middle,7.6,Folk/Country,Domino,Alastair Shuttleworth,2025.0,2025-02-18,663,https://www.pitchfork.com/reviews/albums/richard-dawson-end-of-the-middle/
Civilistjävel!,Följd,7.7,Electronic,FELT,Philip Sherburne,2025.0,2025-02-18,913,https://www.pitchfork.com/reviews/albums/civilistjavel-foljd/
OnlyHeaven,KISS (Keep It Short & Sweet)EP,7.4,Rap,NEWWRLD,Alphonse Pierre,2025.0,2025-02-18,778,https://www.pitchfork.com/reviews/albums/onlyheaven-kiss-keep-it-short-and-sweet-ep/
Babes in Toyland,Fontanelle,9.0,Reprise / Southern,Reprise / Southern,Amy Phillips,1992.0,2025-02-16,3907,https://www.pitchfork.com/reviews/albums/babes-in-toyland-fontanelle/
,,7.6,Rock,,Brad Shoup,,2025-02-15,1703,https://www.pitchfork.com/reviews/albums/drop-nineteens-delaware-1991/
venturing,Ghostholding,7.9,Rock,deadAir,Sasha Geffen,2025.0,2025-02-14,949,https://www.pitchfork.com/reviews/albums/venturing-ghostholding/
Mereba,The Breeze Grew a Fire,7.8,Pop/R&B,Secretly Canadian,Stephen Kearse,2025.0,2025-02-14,692,https://www.pitchfork.com/reviews/albums/mereba-the-breeze-grew-a-fire/
Horsebath,Another Farewell,7.5,Folk/Country,Strolling Bones,Stephen M. Deusner,2025.0,2025-02-14,577,https://www.pitchfork.com/reviews/albums/horsebath-another-farewell/
Klein,Thirteen Sense,7.3,Experimental,Parkwuud Entertainment,Daniel Bromfield,2025.0,2025-02-13,598,https://www.pitchfork.com/reviews/albums/klein-thirteen-sense/
Rosco P. Coldchain,For the Mature,6.5,Rap,self-released,Pete Tosiello,2025.0,2025-02-13,476,https://www.pitchfork.com/reviews/albums/roscoe-p-coldchain-for-the-mature/
Canty,Dim Binge,6.8,Pop/R&B / Rock,Full Time Hobby,Jazz Monroe,2025.0,2025-02-13,557,https://www.pitchfork.com/reviews/albums/canty-dim-binge/
Squid,Cowards,7.6,Rock,Warp,Aimee Cliff,2025.0,2025-02-12,752,https://www.pitchfork.com/reviews/albums/squid-cowards/
SlimeGetEm,GetEm,6.4,Rap,self-released,Lawrence Burney,2025.0,2025-02-12,852,https://www.pitchfork.com/reviews/albums/slimegetem-getem/
Larry June,Life Is Beautiful,6.8,Rap,EMPIRE,Matthew Ritchie,2025.0,2025-02-12,694,https://www.pitchfork.com/reviews/albums/larry-june-2-chainz-the-alchemist-life-is-beautiful/
Madvillain,Madvillainy Demos,8.0,Rap,Stones Throw,Paul A. Thompson,2025.0,2025-02-11,675,https://www.pitchfork.com/reviews/albums/madvillain-madvillainy-demos/
Mirar,Ascension,7.4,Metal,self-released,Sam Goldner,2025.0,2025-02-11,563,https://www.pitchfork.com/reviews/albums/mirar-ascension/
