artist,album,score,genre,label,reviewer,year,review_date,length,url
Jana Horn,The Window Is the Dream,7.8,Folk/Country,No Quarter,Jayson Greene,2023.0,2023-04-19,579,https://www.pitchfork.com/reviews/albums/jana-horn-the-window-is-the-dream/
Patrick Wolf,The Night Safari EP,6.8,Electronic / Rock,Apport,Eric Torres,2023.0,2023-04-19,509,https://www.pitchfork.com/reviews/albums/patrick-wolf-the-night-safari-ep/
Shannon Lay,Covers Vol. 1,7.1,Folk/Country,Sub Pop,Stephen M. Deusner,2023.0,2023-04-18,519,https://www.pitchfork.com/reviews/albums/shannon-lay-covers-vol-1/
Bruiser and Bicycle,Holy Red Wagon,7.5,Rock,Topshelf,Nina Corcoran,2023.0,2023-04-18,674,https://www.pitchfork.com/reviews/albums/bruiser-and-bicycle-holy-red-wagon/
Nerver,Brothers in Christ EP,7.2,Rock,Reptilian / The Ghost Is Clear,Marc Hogan,2023.0,2023-04-18,603,https://www.pitchfork.com/reviews/albums/nerver-chat-pile-brothers-in-christ-ep/
Kara Jackson,Why Does the Earth Give Us People to Love?,8.2,Folk/Country,September,Mary Retta,2023.0,2023-04-17,831,https://www.pitchfork.com/reviews/albums/kara-jackson-why-does-the-earth-give-us-people-to-love/
Frost Children,SPEED RUN,5.4,Electronic,True Panther,Sam Goldner,2023.0,2023-04-17,803,https://www.pitchfork.com/reviews/albums/frost-children-speed-run/
Terry,Call Me Terry,7.6,Rock,Upset the Rhythm,Shaad D’Souza,2023.0,2023-04-17,662,https://www.pitchfork.com/reviews/albums/terry-call-me-terry/
The Hidden Cameras,The Smell of Our Own (20th Anniversary Edition),8.2,Rock,Rough Trade,Jesse Dorris,2023.0,2023-04-17,910,https://www.pitchfork.com/reviews/albums/the-hidden-cameras-the-smell-of-our-own-20th-anniversary-edition/
Material Issue,International Pop Overthrow,7.9,Rock,Mercury,Arielle Gordon,1991.0,2023-04-16,2068,https://www.pitchfork.com/reviews/albums/material-issue-international-pop-overthrow/
Angel Olsen,Forever Means EP,7.0,Rock,Jagjaguwar,Allison Hussey,2023.0,2023-04-15,482,https://www.pitchfork.com/reviews/albums/angel-olsen-forever-means-ep/
Feist,Multitudes,7.6,Rock,Interscope,Ryan Dombal,2023.0,2023-04-14,1080,https://www.pitchfork.com/reviews/albums/feist-multitudes/
Brandee Younger,Brand New Life,7.6,Jazz,Impulse!,Matthew Ismael Ruiz,2023.0,2023-04-14,621,https://www.pitchfork.com/reviews/albums/brandee-younger-brand-new-life/
Braid,Frame & Canvas (25th Anniversary Edition),8.6,Rock,Polyvinyl,Ian Cohen,2023.0,2023-04-14,1246,https://www.pitchfork.com/reviews/albums/braid-frame-and-canvas-25th-anniversary-edition/
Blondshell,Blondshell,7.0,Rock,Partisan,Madison Bloom,2023.0,2023-04-14,676,https://www.pitchfork.com/reviews/albums/blondshell-blondshell/
Metallica,72 Seasons,6.4,Metal,Blackened,Andy Cush,2023.0,2023-04-13,992,https://www.pitchfork.com/reviews/albums/metallica-72-seasons/
Daniel Caesar,Never Enough,6.6,Pop/R&B,Republic,Heven Haile,2023.0,2023-04-13,603,https://www.pitchfork.com/reviews/albums/daniel-caesar-never-enough/
TisaKorean,Let Me Update My Status,7.8,Rap,Jazzzy,Paul A. Thompson,2023.0,2023-04-13,475,https://www.pitchfork.com/reviews/albums/tisakorean-let-me-update-my-status/
