artist,album,score,genre,label,reviewer,year,review_date,length,url
Doss,4 New Hit Songs,7.1,Electronic,LuckyMe,Colin Joyce,2021.0,2021-05-12,539,https://www.pitchfork.com/reviews/albums/doss-4-new-hit-songs/
Burial,Shock Power of Love EP,7.2,Electronic,Keysound,Ben Cardew,2021.0,2021-05-12,643,https://www.pitchfork.com/reviews/albums/burial-blackdown-shock-power-of-love-ep/
Morray,Street Sermons,6.9,Rap,Pick Six / Interscope,Dylan Green,2021.0,2021-05-12,666,https://www.pitchfork.com/reviews/albums/morray-street-sermons/
LUCY (Cooper B. Handy),The Music Industry Is Poisonous,7.2,Pop/R&B / Experimental,Dots Per Inch,Sophie Kemp,2021.0,2021-05-11,515,https://www.pitchfork.com/reviews/albums/lucy-the-music-industry-is-poisonous/
I. JORDAN,Watch Out! EP,7.8,Electronic,Ninja Tune,Peyton Thomas,2021.0,2021-05-11,800,https://www.pitchfork.com/reviews/albums/india-jordan-watch-out-ep/
Jack Ingram,The Marfa Tapes,7.6,Folk/Country,Vanner / RCA Records Nashville,Sam Sodomsky,2021.0,2021-05-11,581,https://www.pitchfork.com/reviews/albums/jack-ingram-miranda-lambert-jon-rand-the-marfa-tapes/
Squid,Bright Green Field,8.0,Rock,Warp,Madison Bloom,2021.0,2021-05-11,763,https://www.pitchfork.com/reviews/albums/squid-bright-green-field/
Green-House,Music for Living Spaces,7.7,Electronic / Experimental,Leaving,Sasha Geffen,2021.0,2021-05-10,698,https://www.pitchfork.com/reviews/albums/green-house-music-for-living-spaces/
Daniel Bachman,Axacan,7.0,Folk/Country,Three Lobed,Louis Pattison,2021.0,2021-05-10,832,https://www.pitchfork.com/reviews/albums/daniel-bachman-axacan/
Tony Allen,There Is No End,7.7,Jazz,Blue Note,Tarisai Ngangura,2021.0,2021-05-10,920,https://www.pitchfork.com/reviews/albums/tony-allen-there-is-no-end/
Fiver,Fiver With the Atlantic School of Spontaneous Composition,7.6,Rock,You’ve Changed,Allison Hussey,2021.0,2021-05-10,666,https://www.pitchfork.com/reviews/albums/fiver-fiver-with-the-atlantic-school-of-spontaneous-composition/
The Flying Burrito Brothers,The Gilded Palace of Sin,9.0,Rock,A&M,Lindsay Zoladz,1969.0,2021-05-09,2940,https://www.pitchfork.com/reviews/albums/the-flying-burrito-brothers-the-gilded-palace-of-sin/
Alex Chilton,Boogie Shoes: Live on Beale Street,7.0,Rock,Omnivore,Stephen Thomas Erlewine,2021.0,2021-05-08,670,https://www.pitchfork.com/reviews/albums/alex-chilton-hi-rhythm-section-boogie-shoes-live-on-beale-street/
dodie,Build a Problem,6.6,Pop/R&B,doddleoddle,Ashley Bardhan,2021.0,2021-05-07,617,https://www.pitchfork.com/reviews/albums/dodie-build-a-problem/
Iceage,Seek Shelter,8.3,Rock,Mexican Summer,Stuart Berman,2021.0,2021-05-07,743,https://www.pitchfork.com/reviews/albums/iceage-seek-shelter/
Snow Ellet,Suburban Indie Rock Star EP,7.1,Rock,4 Three!,Abby Jones,2021.0,2021-05-07,457,https://www.pitchfork.com/reviews/albums/snow-ellet-suburban-indie-rock-star-ep/
Van Morrison,"Latest Record Project, Vol. 1",5.4,Rock,Exile / BMG,Elizabeth Nelson,2021.0,2021-05-07,803,https://www.pitchfork.com/reviews/albums/van-morrison-latest-record-project-vol-1/
Origami Angel,Gami Gang,7.3,Rock,Counter Intuitive,Abby Jones,2021.0,2021-05-06,558,https://www.pitchfork.com/reviews/albums/origami-angel-gami-gang/
Cake Pop,Cake Pop 2,6.7,Experimental / Pop/R&B,Mad Decent,Julia Gray,2021.0,2021-05-06,645,https://www.pitchfork.com/reviews/albums/cake-pop-cake-pop-2/
Itzy,Guess Who,5.5,Pop/R&B,JYP,Joshua Minsoo Kim,2021.0,2021-05-06,584,https://www.pitchfork.com/reviews/albums/itzy-guess-who/
